Character,dialogue,season,chapter,to,ProD
Sansa Stark," Yes, thank you, my lord.",5,5,Ramsay Bolton,"Sansa Stark,Ramsay Bolton, Yes, thank you, my lord."
Ramsay Bolton, Allow me.,5,5,Ramsay Bolton,"Ramsay Bolton,Ramsay Bolton, Allow me."
Ramsay Bolton, Mother.,5,5,Walda,"Ramsay Bolton,Walda, Mother."
Walda," Thank you, Ramsay.",5,5,Ramsay Bolton,"Walda,Ramsay Bolton, Thank you, Ramsay."
Ramsay Bolton," My lady, we are all a family, we northerners. Our blood ties go back thousands of years. So I'd like to drink to our wedding. May our happiness spread from Moat Cailin to the Last Hearth.",5,5,Roose Bolton,"Ramsay Bolton,Roose Bolton, My lady, we are all a family, we northerners. Our blood ties go back thousands of years. So I'd like to drink to our wedding. May our happiness spread from Moat Cailin to the Last Hearth."
Roose Bolton,To your wedding.,5,5,Walda,"Roose Bolton,Walda,To your wedding."
Walda,To your wedding.,5,5,Walda,"Walda,Walda,To your wedding."
Walda, It must be difficult for you being in a strange place.,5,5,Sansa Stark,"Walda,Sansa Stark, It must be difficult for you being in a strange place."
Sansa Stark, This isn't a strange place. This is my home. It's the people who are strange.,5,5,Ramsay Bolton,"Sansa Stark,Ramsay Bolton, This isn't a strange place. This is my home. It's the people who are strange."
Ramsay Bolton," You're right. Very strange. More wine, please.",5,5,Ramsay Bolton,"Ramsay Bolton,Ramsay Bolton, You're right. Very strange. More wine, please."
Ramsay Bolton," I heard you two had reunited. A fitting place for it.I like to imagine that the last time you spoke was in this very room. Are you still angry with him after he  what he did? Don't worry. The North remembers. I punished him for it. He's not ironborn anymore. Not Theon Greyjoy anymore. He's a new man. A new person, anyway. Aren't you, Reek?",5,5,Theon Greyjoy,"Ramsay Bolton,Theon Greyjoy, I heard you two had reunited. A fitting place for it.I like to imagine that the last time you spoke was in this very room. Are you still angry with him after he  what he did? Don't worry. The North remembers. I punished him for it. He's not ironborn anymore. Not Theon Greyjoy anymore. He's a new man. A new person, anyway. Aren't you, Reek?"
Theon Greyjoy,"Yes, master.",5,5,Ramsay Bolton,"Theon Greyjoy,Ramsay Bolton,Yes, master."
Ramsay Bolton," That's his new name, Reek.",5,5,Sansa Stark,"Ramsay Bolton,Sansa Stark, That's his new name, Reek."
Sansa Stark, Why are you doing this?,5,5,Ramsay Bolton,"Sansa Stark,Ramsay Bolton, Why are you doing this?"
Ramsay Bolton," Because Reek has something to say to you. Don't you, Reek?An apology. Apologize to Lady Sansa for what you did. Apologize for murdering her two brothers.",5,5,Theon Greyjoy,"Ramsay Bolton,Theon Greyjoy, Because Reek has something to say to you. Don't you, Reek?An apology. Apologize to Lady Sansa for what you did. Apologize for murdering her two brothers."
Theon Greyjoy,I'm sorry.,5,5,Ramsay Bolton,"Theon Greyjoy,Ramsay Bolton,I'm sorry."
Ramsay Bolton," Look at her, Reek. An apology doesn't mean anything if you're not looking the person in the eye.",5,5,Theon Greyjoy,"Ramsay Bolton,Theon Greyjoy, Look at her, Reek. An apology doesn't mean anything if you're not looking the person in the eye."
Theon Greyjoy, I'm sorry.,5,5,Ramsay Bolton,"Theon Greyjoy,Ramsay Bolton, I'm sorry."
Ramsay Bolton, Sorry about what?,5,5,Theon Greyjoy,"Ramsay Bolton,Theon Greyjoy, Sorry about what?"
Theon Greyjoy, For killing your brothers.,5,5,Ramsay Bolton,"Theon Greyjoy,Ramsay Bolton, For killing your brothers."
Ramsay Bolton," There, over and done with. Doesn't everyone feel better? I do. That was getting very tense. Whew.You know what, my lady? What with him having murdered your brothers and the rest of your family gone Reek here is the nearest thing to living kin that you have left. Reek. You will give away the bride. Someone has to. What better person? Good? Good?",5,5,Roose Bolton,"Ramsay Bolton,Roose Bolton, There, over and done with. Doesn't everyone feel better? I do. That was getting very tense. Whew.You know what, my lady? What with him having murdered your brothers and the rest of your family gone Reek here is the nearest thing to living kin that you have left. Reek. You will give away the bride. Someone has to. What better person? Good? Good?"
Roose Bolton," Yes, yes, very good.",5,5,Ramsay Bolton,"Roose Bolton,Ramsay Bolton, Yes, yes, very good."
Ramsay Bolton, Wonderful. .,5,5,Roose Bolton,"Ramsay Bolton,Roose Bolton, Wonderful. ."
Roose Bolton," Walda and I have some good news as well, since we're all together.",5,5,Walda,"Roose Bolton,Walda, Walda and I have some good news as well, since we're all together."
Walda, We're going to have a baby.,5,5,Sansa Stark,"Walda,Sansa Stark, We're going to have a baby."
Sansa Stark, I'm very happy for you.,5,5,Roose Bolton,"Sansa Stark,Roose Bolton, I'm very happy for you."
Roose Bolton," From the way she's carrying, Maester Wolkan says it looks like a boy.",5,5,Ramsay Bolton,"Roose Bolton,Ramsay Bolton, From the way she's carrying, Maester Wolkan says it looks like a boy."
Ramsay Bolton, How can you be sure?,5,5,Roose Bolton,"Ramsay Bolton,Roose Bolton, How can you be sure?"
Roose Bolton, Sure of what?,5,5,Ramsay Bolton,"Roose Bolton,Ramsay Bolton, Sure of what?"
Ramsay Bolton, That she's pregnant. I mean how can you tell?,5,5,Roose Bolton,"Ramsay Bolton,Roose Bolton, That she's pregnant. I mean how can you tell?"
Roose Bolton, Maester Wolkan has assured us beyond all doubt.,5,5,Ramsay Bolton,"Roose Bolton,Ramsay Bolton, Maester Wolkan has assured us beyond all doubt."
Ramsay Bolton, So how did you manage it?,5,5,Roose Bolton,"Ramsay Bolton,Roose Bolton, So how did you manage it?"
Roose Bolton, Manage what?,5,5,Ramsay Bolton,"Roose Bolton,Ramsay Bolton, Manage what?"
Ramsay Bolton, Getting her pregnant.,5,5,Roose Bolton,"Ramsay Bolton,Roose Bolton, Getting her pregnant."
Roose Bolton, I imagine you're familiar with the procedure.,5,5,Ramsay Bolton,"Roose Bolton,Ramsay Bolton, I imagine you're familiar with the procedure."
Ramsay Bolton," Of course, but how did you find it?",5,5,Roose Bolton,"Ramsay Bolton,Roose Bolton, Of course, but how did you find it?"
Roose Bolton," You disgraced yourself at dinner, parading that creature before the Stark girl.",5,5,Ramsay Bolton,"Roose Bolton,Ramsay Bolton, You disgraced yourself at dinner, parading that creature before the Stark girl."
Ramsay Bolton, And if it's a boy?,5,5,Roose Bolton,"Ramsay Bolton,Roose Bolton, And if it's a boy?"
Roose Bolton, You're worried about your position.,5,5,Ramsay Bolton,"Roose Bolton,Ramsay Bolton, You're worried about your position."
Ramsay Bolton, My position is quite clear. I'm your son until a better alternative comes along.,5,5,Roose Bolton,"Ramsay Bolton,Roose Bolton, My position is quite clear. I'm your son until a better alternative comes along."
Roose Bolton, You've never asked me about your mother.,5,5,Ramsay Bolton,"Roose Bolton,Ramsay Bolton, You've never asked me about your mother."
Ramsay Bolton," Why would I? She had me, she died. And here we are.",5,5,Roose Bolton,"Ramsay Bolton,Roose Bolton, Why would I? She had me, she died. And here we are."
Roose Bolton," She was a peasant girl. Pretty in a common sort of way. She was the miller's wife. Apparently they had married without my knowledge or consent. So I had him hanged and I took her beneath the tree where he was swaying. She fought me the whole time. She was lucky I didn't hang her, too. A year later she came to my gates with a squalling baby in her arms. A baby she claimed was mine. I nearly had her whipped and the child thrown in the river.But then I looked at you and I saw then what I see now. You are my son.Stannis Baratheon has an army at Castle Black. But he won't stay for long. He wants the Iron Throne, and the road to King's Landing comes right through Winterfell. He means to take the North. But the North is ours. It's yours and mine. Will you help me defeat him?",5,5,Ramsay Bolton,"Roose Bolton,Ramsay Bolton, She was a peasant girl. Pretty in a common sort of way. She was the miller's wife. Apparently they had married without my knowledge or consent. So I had him hanged and I took her beneath the tree where he was swaying. She fought me the whole time. She was lucky I didn't hang her, too. A year later she came to my gates with a squalling baby in her arms. A baby she claimed was mine. I nearly had her whipped and the child thrown in the river.But then I looked at you and I saw then what I see now. You are my son.Stannis Baratheon has an army at Castle Black. But he won't stay for long. He wants the Iron Throne, and the road to King's Landing comes right through Winterfell. He means to take the North. But the North is ours. It's yours and mine. Will you help me defeat him?"
Ramsay Bolton, Yes.,5,5,Gilly,"Ramsay Bolton,Gilly, Yes."
Gilly, Is this every book there is?,5,5,Samwell Tarly,"Gilly,Samwell Tarly, Is this every book there is?"
Samwell Tarly, Every book there is?,5,5,Gilly,"Samwell Tarly,Gilly, Every book there is?"
Gilly, In the world.,5,5,Samwell Tarly,"Gilly,Samwell Tarly, In the world."
Samwell Tarly," Well, no. There are thousands and thousands of books out there. This library is rather small, actually.",5,5,Gilly,"Samwell Tarly,Gilly, Well, no. There are thousands and thousands of books out there. This library is rather small, actually."
Gilly," Where you grew up, were there more books?",5,5,Samwell Tarly,"Gilly,Samwell Tarly, Where you grew up, were there more books?"
Samwell Tarly, My father's not the most literate man. They say the Citadel has the largest library in the world.,5,5,Gilly,"Samwell Tarly,Gilly, My father's not the most literate man. They say the Citadel has the largest library in the world."
Gilly, Where's that?,5,5,Samwell Tarly,"Gilly,Samwell Tarly, Where's that?"
Samwell Tarly, The Citadel? In Oldtown.,5,5,Gilly,"Samwell Tarly,Gilly, The Citadel? In Oldtown."
Gilly, I'm sorry I don't know things.,5,5,Samwell Tarly,"Gilly,Samwell Tarly, I'm sorry I don't know things."
Samwell Tarly," Gilly, look at me. You know how to do a hundred things I can never do. You can build a fire with wet wood. You can cook. You can stitch a wound.",5,5,Gilly,"Samwell Tarly,Gilly, Gilly, look at me. You know how to do a hundred things I can never do. You can build a fire with wet wood. You can cook. You can stitch a wound."
Gilly, I can wash the linens. I can sweep the floor.,5,5,Samwell Tarly,"Gilly,Samwell Tarly, I can wash the linens. I can sweep the floor."
Samwell Tarly, Well ,5,5,Gilly,"Samwell Tarly,Gilly, Well "
Gilly, Why does the Citadel have the biggest library?,5,5,Samwell Tarly,"Gilly,Samwell Tarly, Why does the Citadel have the biggest library?"
Samwell Tarly, It's where they train the maesters.,5,5,Gilly,"Samwell Tarly,Gilly, It's where they train the maesters."
Gilly, Like Maester Aemon?,5,5,Samwell Tarly,"Gilly,Samwell Tarly, Like Maester Aemon?"
Samwell Tarly," I wanted to be one when I was young. Instead, I became a man of the Night's Watch. Far more adventure up here anyway. I wouldn't have met you.",5,5,Samwell Tarly,"Samwell Tarly,Samwell Tarly, I wanted to be one when I was young. Instead, I became a man of the Night's Watch. Far more adventure up here anyway. I wouldn't have met you."
Samwell Tarly," Ah, Your Grace.",5,5,Stannis Baratheon,"Samwell Tarly,Stannis Baratheon, Ah, Your Grace."
Stannis Baratheon, You're Samwell Tarly?,5,5,Samwell Tarly,"Stannis Baratheon,Samwell Tarly, You're Samwell Tarly?"
Samwell Tarly," I am, Your Grace.",5,5,Stannis Baratheon,"Samwell Tarly,Stannis Baratheon, I am, Your Grace."
Stannis Baratheon," Your father is Randyll Tarly. He defeated my brother at the Battle of Ashford. Only battle Robert ever lost. I told him he shouldn't go so far west so soon, but he never listened. Fine soldier, your father. You don't look like a soldier. But I'm told you killed a white walker.",5,5,Samwell Tarly,"Stannis Baratheon,Samwell Tarly, Your father is Randyll Tarly. He defeated my brother at the Battle of Ashford. Only battle Robert ever lost. I told him he shouldn't go so far west so soon, but he never listened. Fine soldier, your father. You don't look like a soldier. But I'm told you killed a white walker."
Samwell Tarly," I did, Your Grace.",5,5,Stannis Baratheon,"Samwell Tarly,Stannis Baratheon, I did, Your Grace."
Stannis Baratheon, How?,5,5,Samwell Tarly,"Stannis Baratheon,Samwell Tarly, How?"
Samwell Tarly, With a dagger made of dragonglass.,5,5,Stannis Baratheon,"Samwell Tarly,Stannis Baratheon, With a dagger made of dragonglass."
Stannis Baratheon, Dragonglass?,5,5,Samwell Tarly,"Stannis Baratheon,Samwell Tarly, Dragonglass?"
Samwell Tarly, What the maesters call obsidian ,5,5,Stannis Baratheon,"Samwell Tarly,Stannis Baratheon, What the maesters call obsidian "
Stannis Baratheon, I know what it is. We have it in Dragonstone. Why would obsidian kill a walker?,5,5,Samwell Tarly,"Stannis Baratheon,Samwell Tarly, I know what it is. We have it in Dragonstone. Why would obsidian kill a walker?"
Samwell Tarly," I don't know. I've been going through all the old manuscripts hoping to find something, and all I've learned is that the children of the forest used to hunt with dragonglass.",5,5,Stannis Baratheon,"Samwell Tarly,Stannis Baratheon, I don't know. I've been going through all the old manuscripts hoping to find something, and all I've learned is that the children of the forest used to hunt with dragonglass."
Stannis Baratheon, The Lady Melisandre told me that death marches on the Wall.,5,5,Samwell Tarly,"Stannis Baratheon,Samwell Tarly, The Lady Melisandre told me that death marches on the Wall."
Samwell Tarly," I've seen it, Your Grace.",5,5,Stannis Baratheon,"Samwell Tarly,Stannis Baratheon, I've seen it, Your Grace."
Stannis Baratheon, Seen what?,5,5,Samwell Tarly,"Stannis Baratheon,Samwell Tarly, Seen what?"
Samwell Tarly, The army of the dead. And when they come ,5,5,Stannis Baratheon,"Samwell Tarly,Stannis Baratheon, The army of the dead. And when they come "
Stannis Baratheon," We have to know how to fight them.Keep reading, Samwell Tarly.",5,5,Stannis Baratheon,"Stannis Baratheon,Stannis Baratheon, We have to know how to fight them.Keep reading, Samwell Tarly."
Stannis Baratheon, It's time.,5,5,Davos Seaworth,"Stannis Baratheon,Davos Seaworth, It's time."
Davos Seaworth," Uh, Your Grace. Wouldn't it be better to wait? When Jon Snow returns with the wildlings, we could have thousands more men.",5,5,Stannis Baratheon,"Davos Seaworth,Stannis Baratheon, Uh, Your Grace. Wouldn't it be better to wait? When Jon Snow returns with the wildlings, we could have thousands more men."
Stannis Baratheon," If Jon Snow returns with the wildlings. We can't wait that long. We have the advantage, more men, more horses, all fed and rested. But every day we wait, the odds shift in Bolton's favor. This could turn to winter at any moment. We have to act now. Give the order. We march at sunrise.",5,5,Davos Seaworth,"Stannis Baratheon,Davos Seaworth, If Jon Snow returns with the wildlings. We can't wait that long. We have the advantage, more men, more horses, all fed and rested. But every day we wait, the odds shift in Bolton's favor. This could turn to winter at any moment. We have to act now. Give the order. We march at sunrise."
Davos Seaworth, I'll choose a dozen men to stay and guard the queen and the princess.,5,5,Stannis Baratheon,"Davos Seaworth,Stannis Baratheon, I'll choose a dozen men to stay and guard the queen and the princess."
Stannis Baratheon," No need, they're coming with us.",5,5,Davos Seaworth,"Stannis Baratheon,Davos Seaworth, No need, they're coming with us."
Davos Seaworth," It's a tough road ahead, Your Grace. Won't they be safer ",5,5,Stannis Baratheon,"Davos Seaworth,Stannis Baratheon, It's a tough road ahead, Your Grace. Won't they be safer "
Stannis Baratheon," Here? Half these watchmen are killers and rapists. No, they march with us.",5,5,Davos Seaworth,"Stannis Baratheon,Davos Seaworth, Here? Half these watchmen are killers and rapists. No, they march with us."
Davos Seaworth," As you wish, Your Grace.",5,5,Shireen,"Davos Seaworth,Shireen, As you wish, Your Grace."
Shireen,Do you think Father will let me go down into the crypt?,5,5,Davos Seaworth,"Shireen,Davos Seaworth,Do you think Father will let me go down into the crypt?"
Davos Seaworth, Beg your pardon?,5,5,Shireen,"Davos Seaworth,Shireen, Beg your pardon?"
Shireen, At Winterfell. All the Kings in the North are buried there. Bran the Builder and King Dorren and,5,5,Davos Seaworth,"Shireen,Davos Seaworth, At Winterfell. All the Kings in the North are buried there. Bran the Builder and King Dorren and"
Davos Seaworth, First things first. It's a long march ahead. And then we have to take the castle.,5,5,Shireen,"Davos Seaworth,Shireen, First things first. It's a long march ahead. And then we have to take the castle."
Shireen, Is there going to be a battle?,5,5,Davos Seaworth,"Shireen,Davos Seaworth, Is there going to be a battle?"
Davos Seaworth," Aye, princess, but you won't be anywhere near ",5,5,Selyse,"Davos Seaworth,Selyse, Aye, princess, but you won't be anywhere near "
Selyse," That's enough talk of battle, Ser Davos. You'll scare the child.",5,5,Davos Seaworth,"Selyse,Davos Seaworth, That's enough talk of battle, Ser Davos. You'll scare the child."
Davos Seaworth," Yes, my queen.",5,5,Shireen,"Davos Seaworth,Shireen, Yes, my queen."
Shireen, I'm not scared.,5,5,Davos Seaworth,"Shireen,Davos Seaworth, I'm not scared."
Davos Seaworth," Well, I am. When the battle comes, promise you'll protect me.",5,5,Shireen,"Davos Seaworth,Shireen, Well, I am. When the battle comes, promise you'll protect me."
Shireen,I promise.,5,5,Stannis Baratheon,"Shireen,Stannis Baratheon,I promise."
Stannis Baratheon, I hope you know what you're doing with these wildlings. I need those ships.,5,5,Jon Snow,"Stannis Baratheon,Jon Snow, I hope you know what you're doing with these wildlings. I need those ships."
Jon Snow," You'll get them back, I swear it. Have a safe journey, Your Grace. And thank you.",5,5,Missandei,"Jon Snow,Missandei, You'll get them back, I swear it. Have a safe journey, Your Grace. And thank you."
Missandei, You're still too weak. .,5,5,Grey Worm,"Missandei,Grey Worm, You're still too weak. ."
Grey Worm,  How long have I been here?,5,5,Missandei,"Grey Worm,Missandei,  How long have I been here?"
Missandei,  Three days.,5,5,Grey Worm,"Missandei,Grey Worm,  Three days."
Grey Worm, Ser Barristan?,5,5,Grey Worm,"Grey Worm,Grey Worm, Ser Barristan?"
Grey Worm,"  I failed him. I failed my men, I failed my queen.",5,5,Missandei,"Grey Worm,Missandei,  I failed him. I failed my men, I failed my queen."
Missandei,"  You failed no one. You fought bravely. You'll fight again.  Are you ashamed? You were ambushed, outnumbered. There was no way you could have known.",5,5,Grey Worm,"Missandei,Grey Worm,  You failed no one. You fought bravely. You'll fight again.  Are you ashamed? You were ambushed, outnumbered. There was no way you could have known."
Grey Worm," This is not why. Wounded in war, there is no shame for this. I am ashamed because when the knife go in and I fall to the ground, I am afraid.",5,5,Missandei,"Grey Worm,Missandei, This is not why. Wounded in war, there is no shame for this. I am ashamed because when the knife go in and I fall to the ground, I am afraid."
Missandei, All men fear death.,5,5,Grey Worm,"Missandei,Grey Worm, All men fear death."
Grey Worm," No, not death. I fear I never again see Missandei from the Island of Naath.",5,5,Missandei,"Grey Worm,Missandei, No, not death. I fear I never again see Missandei from the Island of Naath."
Missandei, Now you have given the Masters what they deserve.,5,5,Daenerys Targaryen,"Missandei,Daenerys Targaryen, Now you have given the Masters what they deserve."
Daenerys Targaryen," If I give everyone what they deserve, I'll have no one left to rule. Ser Barristan counseled mercy when I took this city right up to the morning he died. Daario Naharis thinks I should kill the former Masters and let the rest of the city fend for itself. What do you think?",5,5,Missandei,"Daenerys Targaryen,Missandei, If I give everyone what they deserve, I'll have no one left to rule. Ser Barristan counseled mercy when I took this city right up to the morning he died. Daario Naharis thinks I should kill the former Masters and let the rest of the city fend for itself. What do you think?"
Missandei," Your Grace, I think that I am not fit to have an opinion on these matters.",5,5,Daenerys Targaryen,"Missandei,Daenerys Targaryen, Your Grace, I think that I am not fit to have an opinion on these matters."
Daenerys Targaryen,You are as fit as anyone I know. You know why I'm here. And you know who will suffer the most if this all falls apart. So what do you think?,5,5,Missandei,"Daenerys Targaryen,Missandei,You are as fit as anyone I know. You know why I'm here. And you know who will suffer the most if this all falls apart. So what do you think?"
Missandei," I can only tell you what I have seen, Your Grace.I have seen you listen to your counselors. I have seen you lean on their experience when your own was lacking and weigh the choices they put before you. And I have seen you ignore your counselors, because there was a better choice. One that only you could see.",5,5,Hizdahr,"Missandei,Hizdahr, I can only tell you what I have seen, Your Grace.I have seen you listen to your counselors. I have seen you lean on their experience when your own was lacking and weigh the choices they put before you. And I have seen you ignore your counselors, because there was a better choice. One that only you could see."
Hizdahr," My, my queen, please do not do this.",5,5,Daenerys Targaryen,"Hizdahr,Daenerys Targaryen, My, my queen, please do not do this."
Daenerys Targaryen, What about Valar Morghulis?,5,5,Hizdahr,"Daenerys Targaryen,Hizdahr, What about Valar Morghulis?"
Hizdahr, I did not want to die a coward. Apparently I do not want to die at all. .,5,5,Daenerys Targaryen,"Hizdahr,Daenerys Targaryen, I did not want to die a coward. Apparently I do not want to die at all. ."
Daenerys Targaryen," It takes courage to admit fear. And to admit a mistake. I came here to tell you that I was wrong. I was wrong and you were right. About tradition. About bringing the people of this city together. I will reopen the fighting pits. To free men only. Slavery will never return to Meereen, not while I live.",5,5,Hizdahr,"Daenerys Targaryen,Hizdahr, It takes courage to admit fear. And to admit a mistake. I came here to tell you that I was wrong. I was wrong and you were right. About tradition. About bringing the people of this city together. I will reopen the fighting pits. To free men only. Slavery will never return to Meereen, not while I live."
Hizdahr," Yes, my queen.",5,5,Daenerys Targaryen,"Hizdahr,Daenerys Targaryen, Yes, my queen."
Daenerys Targaryen," And in order to forge a lasting bond with the Meereenese people, I will marry the leader of an ancient family.Thankfully a suitor is already on his knees.",5,5,Tyrion Lannister,"Daenerys Targaryen,Tyrion Lannister, And in order to forge a lasting bond with the Meereenese people, I will marry the leader of an ancient family.Thankfully a suitor is already on his knees."
Tyrion Lannister," Don't worry. I'll be fine. Nothing broken, I don't think. Where are we now? Not the Rhoyne.Long, sullen silences and an occasional punch in the face. The Mormont way. Let's start over. I apologize for before. My mouth sometimes runs away from me. This doesn't have to be an unpleasant trip. We're going to be spending a lot of time together on the way to Meereen.",5,5,Jorah Mormont,"Tyrion Lannister,Jorah Mormont, Don't worry. I'll be fine. Nothing broken, I don't think. Where are we now? Not the Rhoyne.Long, sullen silences and an occasional punch in the face. The Mormont way. Let's start over. I apologize for before. My mouth sometimes runs away from me. This doesn't have to be an unpleasant trip. We're going to be spending a lot of time together on the way to Meereen."
Jorah Mormont, We are.,5,5,Tyrion Lannister,"Jorah Mormont,Tyrion Lannister, We are."
Tyrion Lannister, What would make our time together truly enjoyable would be some wine.,5,5,Jorah Mormont,"Tyrion Lannister,Jorah Mormont, What would make our time together truly enjoyable would be some wine."
Jorah Mormont, No wine.,5,5,Tyrion Lannister,"Jorah Mormont,Tyrion Lannister, No wine."
Tyrion Lannister," I am a person who drinks. People who drink need to keep drinking. Otherwise, they're not...",5,5,Tyrion Lannister,"Tyrion Lannister,Tyrion Lannister, I am a person who drinks. People who drink need to keep drinking. Otherwise, they're not..."
Tyrion Lannister, I know where we are. You're taking us through Valyria.,5,5,Jorah Mormont,"Tyrion Lannister,Jorah Mormont, I know where we are. You're taking us through Valyria."
Jorah Mormont, I am.,5,5,Tyrion Lannister,"Jorah Mormont,Tyrion Lannister, I am."
Tyrion Lannister, Have you sailed this route before?,5,5,Jorah Mormont,"Tyrion Lannister,Jorah Mormont, Have you sailed this route before?"
Jorah Mormont, No.,5,5,Tyrion Lannister,"Jorah Mormont,Tyrion Lannister, No."
Tyrion Lannister, You're going to bring Daenerys a souvenir from her ancestral homeland in case I'm not enough?,5,5,Jorah Mormont,"Tyrion Lannister,Jorah Mormont, You're going to bring Daenerys a souvenir from her ancestral homeland in case I'm not enough?"
Jorah Mormont, I think you'll be plenty.,5,5,Tyrion Lannister,"Jorah Mormont,Tyrion Lannister, I think you'll be plenty."
Tyrion Lannister, You know what they say. The Doom still rules Valyria. What about the demons and the flames? Aren't you afraid of the Doom?,5,5,Jorah Mormont,"Tyrion Lannister,Jorah Mormont, You know what they say. The Doom still rules Valyria. What about the demons and the flames? Aren't you afraid of the Doom?"
Jorah Mormont, No. But the pirates are.,5,5,Tyrion Lannister,"Jorah Mormont,Tyrion Lannister, No. But the pirates are."
Tyrion Lannister, Oh.,5,5,Tyrion Lannister,"Tyrion Lannister,Tyrion Lannister, Oh."
Tyrion Lannister, The Smoking Sea. How many centuries before we learn how to build cities like this again? Thousands of years the Valyrians were the best in the world at almost everything. And then ,5,5,Jorah Mormont,"Tyrion Lannister,Jorah Mormont, The Smoking Sea. How many centuries before we learn how to build cities like this again? Thousands of years the Valyrians were the best in the world at almost everything. And then "
Jorah Mormont, And then they weren't.,5,5,Tyrion Lannister,"Jorah Mormont,Tyrion Lannister, And then they weren't."
Tyrion Lannister," And then they weren't. They held each other close and turned their backs upon the end. The hills that split asunder and the black that ate the skies; The flames that shot so high and hot that even dragons burned; Would never be the final sights that fell upon their eyes. A fly upon a wall, the waves the sea wind whipped and churned ",5,5,Jorah Mormont,"Tyrion Lannister,Jorah Mormont, And then they weren't. They held each other close and turned their backs upon the end. The hills that split asunder and the black that ate the skies; The flames that shot so high and hot that even dragons burned; Would never be the final sights that fell upon their eyes. A fly upon a wall, the waves the sea wind whipped and churned "
Jorah Mormont," The city of a thousand years, and all that men had learned; The Doom consumed it all alike, and neither of them turned.",5,5,Tyrion Lannister,"Jorah Mormont,Tyrion Lannister, The city of a thousand years, and all that men had learned; The Doom consumed it all alike, and neither of them turned."
Tyrion Lannister, I would clap.,5,5,Tyrion Lannister,"Tyrion Lannister,Tyrion Lannister, I would clap."
Tyrion Lannister," I suppose this is it, then. This is what remains.",5,5,Tyrion Lannister,"Tyrion Lannister,Tyrion Lannister, I suppose this is it, then. This is what remains."
Tyrion Lannister, What was that?,5,5,Jorah Mormont,"Tyrion Lannister,Jorah Mormont, What was that?"
Jorah Mormont, Stone Men! Don't let them touch you!,5,5,Jorah Mormont,"Jorah Mormont,Jorah Mormont, Stone Men! Don't let them touch you!"
Jorah Mormont, Get behind!,5,5,Tyrion Lannister,"Jorah Mormont,Tyrion Lannister, Get behind!"
Tyrion Lannister," Mormont, cut me free!Mormont!",5,5,Tyrion Lannister,"Tyrion Lannister,Tyrion Lannister, Mormont, cut me free!Mormont!"
Tyrion Lannister, Mormont! Mormont!,5,5,Jorah Mormont,"Tyrion Lannister,Jorah Mormont, Mormont! Mormont!"
Jorah Mormont,Tyrion? Tyrion. Tyrion. Tyrion. You're all right.,5,5,Jorah Mormont,"Jorah Mormont,Jorah Mormont,Tyrion? Tyrion. Tyrion. Tyrion. You're all right."
Jorah Mormont, You're heavier than you look. Did any of them touch you?,5,5,Tyrion Lannister,"Jorah Mormont,Tyrion Lannister, You're heavier than you look. Did any of them touch you?"
Tyrion Lannister,"You?I've seen greyscale before, but nothing like that.",5,5,Jorah Mormont,"Tyrion Lannister,Jorah Mormont,You?I've seen greyscale before, but nothing like that."
Jorah Mormont, I suppose that's why they send them there.,5,5,Tyrion Lannister,"Jorah Mormont,Tyrion Lannister, I suppose that's why they send them there."
Tyrion Lannister," It'd be kinder to put daggers in their hearts and be done with it.Thank you for saving me. Of course, I wouldn't have needed saving if you hadn't kidnapped me in the first place.So what now?",5,5,Jorah Mormont,"Tyrion Lannister,Jorah Mormont, It'd be kinder to put daggers in their hearts and be done with it.Thank you for saving me. Of course, I wouldn't have needed saving if you hadn't kidnapped me in the first place.So what now?"
Jorah Mormont," We walk, up the coast. With luck, we'll find a fishing village. Maybe another boat.",5,5,Tyrion Lannister,"Jorah Mormont,Tyrion Lannister, We walk, up the coast. With luck, we'll find a fishing village. Maybe another boat."
Tyrion Lannister, Without luck?,5,5,Jorah Mormont,"Tyrion Lannister,Jorah Mormont, Without luck?"
Jorah Mormont," We've got a long walk ahead of us. I'll get some wood for a fire. Try to get some rest, huh?",5,5,Tyrion Lannister,"Jorah Mormont,Tyrion Lannister, We've got a long walk ahead of us. I'll get some wood for a fire. Try to get some rest, huh?"
Tyrion Lannister, That's the best idea you've had all day.,5,5,Arya Stark,"Tyrion Lannister,Arya Stark, That's the best idea you've had all day."
Arya Stark, What are they doing with the bodies?,5,6,Waif,"Arya Stark,Waif, What are they doing with the bodies?"
Waif, Get back to work.,5,6,Arya Stark,"Waif,Arya Stark, Get back to work."
Arya Stark, No! I've been here for weeks. I'm not scrubbing one more corpse until you tell me why I'm doing it.,5,6,Waif,"Arya Stark,Waif, No! I've been here for weeks. I'm not scrubbing one more corpse until you tell me why I'm doing it."
Waif, You will know why.,5,6,Arya Stark,"Waif,Arya Stark, You will know why."
Arya Stark, When?,5,6,Waif,"Arya Stark,Waif, When?"
Waif, When it's time. Not before. Get back to work.,5,6,Arya Stark,"Waif,Arya Stark, When it's time. Not before. Get back to work."
Arya Stark, When do I get to play the game?,5,6,Waif,"Arya Stark,Waif, When do I get to play the game?"
Waif, Game?,5,6,Arya Stark,"Waif,Arya Stark, Game?"
Arya Stark, The game. The game of faces.,5,6,Waif,"Arya Stark,Waif, The game. The game of faces."
Waif, You tried already. You failed.,5,6,Arya Stark,"Waif,Arya Stark, You tried already. You failed."
